Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
407,Pat Connaughton,33,CHO,SG,21,0,7.0,1.0,2.1,.489,0.5,1.3,.407,0.5,0.9,.611,.611,0.4,0.6,.615,0.2,1.1,1.3,0.6,0.2,0.0,0.1,0.2,3.0,,connapa01
408,Keshad Johnson,24,MIA,SF,19,0,7.6,1.1,2.7,.385,0.3,1.1,.286,0.7,1.6,.452,.442,0.6,0.8,.733,0.7,1.2,1.8,0.1,0.3,0.2,0.4,0.8,3.0,,johnske10
409,Chris Livingston,22,CLE,SF,3,0,5.7,1.3,2.3,.571,0.0,1.0,.000,1.3,1.3,1.000,.571,0.3,0.3,1.000,0.0,1.0,1.0,0.3,0.3,0.0,0.0,1.3,3.0,,livinch01
410,Alijah Martin,24,TOR,SG,10,0,8.8,0.9,2.6,.346,0.2,1.1,.182,0.7,1.5,.467,.385,1.0,1.2,.833,0.6,0.6,1.2,0.8,0.5,0.3,0.3,0.9,3.0,,martial01
411,Emanuel Miller,25,CHI,PF,5,0,6.6,1.2,2.6,.462,0.4,1.2,.333,0.8,1.4,.571,.538,0.2,0.4,.500,0.2,0.4,0.6,0.8,0.4,0.0,0.0,0.4,3.0,,milleem01
412,Riley Minix,25,SAS,SF,3,0,2.7,1.3,2.0,.667,0.3,1.0,.333,1.0,1.0,1.000,.750,0.0,0.0,,0.3,0.3,0.7,0.3,0.3,0.0,0.0,0.3,3.0,,minixri01
413,Monte Morris,30,IND,PG,6,0,10.8,1.2,3.3,.350,0.3,1.3,.250,0.8,2.0,.417,.400,0.3,0.7,.500,0.2,1.0,1.2,1.5,0.2,0.2,0.3,0.5,3.0,,morrimo01
414,Antonio Reeves,25,CHO,SG,7,0,8.0,1.1,2.3,.500,0.7,1.4,.500,0.4,0.9,.500,.656,0.0,0.0,,0.1,0.6,0.7,0.3,0.1,0.0,0.0,0.4,3.0,,reevean01
415,Baylor Scheierman,25,BOS,SG,40,3,12.7,1.1,2.4,.457,0.8,1.8,.417,0.3,0.6,.591,.617,0.1,0.1,.800,0.3,1.6,2.0,0.8,0.6,0.1,0.4,1.4,3.0,,scheiba01
416,Kobe Brown,26,LAC,PF,28,0,9.4,0.9,2.6,.361,0.4,1.5,.233,0.6,1.0,.552,.431,0.6,0.8,.818,0.6,1.1,1.8,0.9,0.3,0.1,0.4,0.5,2.9,,brownko01
417,David Jones García,24,SAS,SF,11,0,6.2,1.2,2.3,.520,0.3,0.5,.600,0.9,1.8,.500,.580,0.3,0.5,.500,0.4,0.8,1.2,1.6,0.5,0.1,0.5,0.5,2.9,,jonesda06
418,John Konchar,29,MEM,SG,27,1,13.6,1.1,2.3,.492,0.4,1.2,.303,0.7,1.0,.714,.574,0.3,0.5,.615,0.6,2.4,2.9,1.3,1.0,0.4,0.4,1.0,2.9,,konchjo01
419,Pete Nance,25,MIL,PF,14,0,7.4,1.1,2.1,.552,0.6,1.3,.500,0.5,0.8,.636,.707,0.0,0.0,,0.4,0.9,1.3,0.4,0.4,0.2,0.4,0.3,2.9,,nancepe01
420,Chris Paul,40,LAC,PG,16,0,14.3,1.1,3.5,.321,0.6,1.9,.333,0.5,1.6,.308,.411,0.1,0.1,.500,0.4,1.4,1.8,3.3,0.7,0.0,1.0,1.4,2.9,,paulch01
421,Duop Reath,29,POR,C,32,0,8.1,1.0,2.3,.446,0.7,1.7,.418,0.3,0.6,.526,.601,0.2,0.2,.833,0.3,0.9,1.2,0.3,0.2,0.3,0.2,0.9,2.9,,reathdu01
422,Jericho Sims,27,MIL,C,31,4,14.0,1.3,1.6,.837,0.0,0.0,,1.3,1.6,.837,.837,0.3,0.4,.615,1.3,2.4,3.6,0.6,0.2,0.2,1.0,1.6,2.9,,simsje01
423,Trey Alexander,22,NOP,SG,5,0,8.4,1.2,1.8,.667,0.4,0.6,.667,0.8,1.2,.667,.778,0.0,0.0,,0.0,0.8,0.8,1.0,0.2,0.2,0.2,0.8,2.8,,alexatr01
424,Gary Harris,31,MIL,SG,34,2,14.9,1.0,2.0,.485,0.6,1.2,.476,0.4,0.8,.500,.632,0.2,0.3,.889,0.4,1.1,1.5,1.1,0.6,0.1,0.4,1.2,2.8,,harriga01
425,Jonathan Isaac,28,ORL,PF,36,0,10.0,1.0,2.2,.443,0.2,0.9,.194,0.8,1.3,.604,.481,0.7,1.2,.605,0.8,1.8,2.6,0.3,0.4,0.5,0.3,0.8,2.8,,isaacjo01
426,Bobi Klintman,22,DET,SF,6,0,8.8,1.2,3.5,.333,0.5,1.8,.273,0.7,1.7,.400,.405,0.0,0.5,.000,0.8,1.8,2.7,0.7,0.3,0.0,0.8,1.5,2.8,,klintbo01
427,Caleb Martin,30,DAL,SF,39,5,12.1,1.1,2.5,.448,0.2,0.7,.286,0.9,1.7,.515,.490,0.4,0.6,.640,0.4,1.5,1.9,1.4,0.6,0.2,0.6,1.5,2.8,,martica02
428,Julian Phillips,22,CHI,SF,30,2,9.7,1.1,2.5,.427,0.5,1.5,.318,0.6,1.0,.581,.520,0.2,0.2,.833,0.7,0.7,1.3,0.2,0.5,0.2,0.2,1.1,2.8,,phillju01
429,Guerschon Yabusele,30,NYK,C,38,0,9.2,1.1,2.7,.392,0.5,1.7,.308,0.5,1.0,.541,.490,0.2,0.3,.667,0.6,1.5,2.1,0.5,0.1,0.1,0.4,0.9,2.8,,yabusgu01
430,Jamal Cain,26,ORL,SF,18,0,7.0,0.8,2.1,.378,0.3,1.0,.278,0.5,1.1,.474,.446,0.8,1.0,.833,0.4,0.3,0.7,0.3,0.2,0.1,0.3,1.2,2.7,,cainja01
431,Kevon Looney,29,NOP,C,17,6,13.9,1.2,2.8,.426,0.1,0.5,.111,1.1,2.2,.500,.436,0.3,0.5,.625,2.3,2.8,5.1,1.5,0.4,0.5,0.5,1.8,2.7,,looneke01
432,Jae'Sean Tate,30,HOU,SF,26,0,8.0,1.1,2.2,.500,0.3,0.7,.368,0.8,1.5,.564,.560,0.2,0.2,.800,0.7,0.8,1.5,0.5,0.2,0.1,0.3,1.2,2.7,,tateja01
433,Rasheer Fleming,21,PHO,PF,24,0,7.0,1.0,2.8,.353,0.3,1.6,.205,0.7,1.2,.552,.412,0.3,0.4,.778,0.7,0.6,1.3,0.2,0.3,0.3,0.2,0.8,2.6,,flemira01
434,Leonard Miller,22,MIN,SF,17,0,5.1,1.1,1.9,.563,0.1,0.6,.091,1.0,1.2,.810,.578,0.4,0.6,.636,0.4,1.0,1.4,0.3,0.2,0.0,0.4,0.6,2.6,,millele01
435,Rayan Rupert,21,POR,SG,39,0,11.8,1.0,2.9,.354,0.4,1.4,.264,0.7,1.5,.433,.416,0.2,0.3,.583,0.4,1.2,1.7,0.7,0.5,0.1,0.4,1.2,2.6,,ruperra01
436,Carter Bryant,20,SAS,PF,35,0,8.2,0.9,2.6,.348,0.3,1.4,.250,0.6,1.3,.455,.413,0.3,0.3,.833,0.4,1.3,1.7,0.2,0.2,0.1,0.3,0.8,2.5,,bryanca01
437,Christian Koloko,25,3TM,C,15,2,14.9,1.1,2.7,.425,0.1,0.1,.500,1.1,2.5,.421,.438,0.1,0.3,.250,1.3,1.9,3.1,0.7,0.7,1.1,0.7,1.7,2.4,,kolokch01
437,Christian Koloko,25,LAL,C,2,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,,kolokch01
437,Christian Koloko,25,MEM,C,11,2,17.7,1.3,3.2,.400,0.0,0.1,.000,1.3,3.1,.412,.400,0.1,0.4,.250,1.7,2.3,4.0,0.9,0.9,1.2,0.6,1.8,2.6,,kolokch01
437,Christian Koloko,25,ATL,C,2,0,11.5,1.5,2.5,.600,0.5,0.5,1.000,1.0,2.0,.500,.700,0.0,0.0,,0.0,1.0,1.0,0.0,0.5,1.5,1.5,2.5,3.5,,kolokch01
438,Elijah Harkless,25,UTA,SG,7,0,9.4,0.6,1.6,.364,0.3,1.0,.286,0.3,0.6,.500,.455,1.0,1.3,.778,0.3,0.6,0.9,0.7,0.6,0.0,0.4,1.4,2.4,,harklej01
439,Xavier Tillman Sr.,27,BOS,C,13,1,8.5,1.1,2.3,.467,0.2,1.1,.214,0.8,1.2,.688,.517,0.0,0.0,,0.8,1.2,1.9,0.4,0.5,0.2,0.4,0.7,2.4,,tillmxa01
440,Chris Boucher,33,BOS,PF,8,0,11.4,0.9,2.8,.318,0.1,1.5,.083,0.8,1.3,.600,.341,0.4,0.5,.750,0.3,2.0,2.3,0.4,0.6,0.9,0.1,2.0,2.3,,bouchch01
441,Yang Hansen,20,POR,C,26,1,8.3,0.8,2.7,.286,0.2,1.2,.156,0.6,1.5,.395,.321,0.6,0.6,.938,0.4,1.3,1.7,0.7,0.1,0.3,0.9,1.2,2.3,,yangha01
