player,age,team,pos,g,gs,mp,fg,fga,fg_percent,three_points,three_pointsa,three_points_percent,two_points,two_pointsa,two_points_percent,efg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,points_per_game,points_per_minute
Max Christie,22.0,DAL,SG,42.0,33.0,29.4,4.5,9.4,0.483,2.6,5.8,0.455,1.9,3.6,0.53,0.623,1.6,1.9,0.863,0.2,3.2,3.5,2.2,0.5,0.3,1.1,1.5,13.3,0.3166666666666667,0.45238095238095244
Quentin Grimes,25.0,PHI,SG,42.0,7.0,30.6,4.2,9.8,0.432,2.0,5.7,0.347,2.3,4.1,0.549,0.533,2.8,3.3,0.861,0.6,3.2,3.9,3.7,1.0,0.5,2.0,2.0,13.3,0.3166666666666667,0.434640522875817
Tobias Harris,33.0,DET,PF,28.0,28.0,27.4,4.9,10.7,0.455,1.3,4.0,0.327,3.5,6.6,0.532,0.517,2.2,2.6,0.849,1.0,3.6,4.5,2.4,0.8,0.3,1.1,2.0,13.3,0.47500000000000003,0.48540145985401467
Aaron Nesmith,26.0,IND,SF,25.0,22.0,30.4,4.4,12.2,0.359,2.4,6.9,0.349,2.0,5.3,0.371,0.457,2.2,2.7,0.806,1.5,3.6,5.2,2.2,0.7,0.6,1.4,2.8,13.3,0.532,0.43750000000000006
John Collins,28.0,LAC,PF,41.0,32.0,27.5,5.1,9.2,0.559,1.4,3.2,0.427,3.8,6.0,0.629,0.633,1.6,2.0,0.807,1.3,3.5,4.9,0.8,0.9,0.9,1.4,2.7,13.2,0.32195121951219513,0.48
Donte DiVincenzo,29.0,MIN,SG,45.0,45.0,31.9,4.4,10.7,0.414,3.0,8.1,0.375,1.4,2.6,0.534,0.556,1.2,1.6,0.767,1.0,3.6,4.6,4.2,1.3,0.5,1.4,2.5,13.2,0.29333333333333333,0.41379310344827586
Noah Clowney,21.0,BRK,PF,43.0,36.0,28.8,4.0,10.3,0.388,2.1,6.6,0.319,1.9,3.7,0.509,0.49,3.0,3.8,0.802,1.0,3.3,4.3,1.9,0.8,0.8,1.8,2.8,13.1,0.30465116279069765,0.4548611111111111
Bobby Portis,30.0,MIL,PF,44.0,6.0,23.7,5.2,10.8,0.486,2.0,4.3,0.465,3.3,6.5,0.5,0.578,0.7,0.9,0.75,1.2,5.2,6.5,1.5,0.5,0.2,1.0,1.7,13.1,0.29772727272727273,0.5527426160337553
Reed Sheppard,21.0,HOU,SG,43.0,4.0,25.0,4.8,10.9,0.44,2.5,6.2,0.407,2.3,4.7,0.485,0.556,0.9,1.2,0.769,0.3,2.1,2.5,3.1,1.4,0.5,1.2,2.0,13.1,0.30465116279069765,0.524
Toumani Camara,25.0,POR,PF,46.0,46.0,33.9,4.6,10.7,0.431,2.5,7.1,0.354,2.1,3.6,0.585,0.549,1.3,1.8,0.711,1.7,3.3,5.1,2.7,1.0,0.5,2.0,3.2,13.0,0.2826086956521739,0.3834808259587021
Miles McBride,25.0,NYK,SG,34.0,14.0,28.0,4.5,10.3,0.436,3.0,7.0,0.426,1.5,3.4,0.456,0.58,1.0,1.3,0.814,0.6,2.0,2.6,2.7,0.8,0.2,0.8,1.8,13.0,0.38235294117647056,0.4642857142857143
Tre Johnson,19.0,WAS,SG,37.0,19.0,25.3,4.7,10.5,0.444,2.2,5.6,0.393,2.5,5.0,0.5,0.547,1.4,1.6,0.881,0.5,2.3,2.8,2.2,0.6,0.3,1.5,1.8,12.9,0.34864864864864864,0.5098814229249012
Nic Claxton,26.0,BRK,C,41.0,39.0,29.8,5.2,8.9,0.584,0.0,0.3,0.167,5.1,8.6,0.598,0.587,2.4,3.7,0.647,2.6,4.9,7.5,4.0,0.7,1.4,1.4,2.2,12.8,0.3121951219512195,0.42953020134228187
Dennis Schröder,32.0,SAC,PG,36.0,12.0,26.5,4.3,10.5,0.414,1.4,4.1,0.345,2.9,6.4,0.459,0.481,2.7,3.3,0.815,0.5,2.6,3.1,5.4,0.8,0.1,1.9,1.7,12.8,0.35555555555555557,0.4830188679245283
Kyle Kuzma,30.0,MIL,PF,42.0,18.0,26.2,4.7,9.6,0.493,0.9,2.9,0.314,3.8,6.7,0.569,0.54,2.1,2.9,0.73,0.9,3.7,4.6,2.2,0.6,0.5,1.5,2.2,12.5,0.2976190476190476,0.4770992366412214
Tre Jones,26.0,CHI,PG,38.0,20.0,26.8,4.4,7.9,0.55,0.6,1.7,0.328,3.8,6.3,0.609,0.584,3.1,3.6,0.848,0.6,2.3,3.0,5.8,1.3,0.2,1.4,1.4,12.4,0.3263157894736842,0.4626865671641791
Derik Queen,21.0,NOP,C,46.0,34.0,26.0,4.8,9.8,0.49,0.2,0.9,0.19,4.6,8.8,0.521,0.499,2.6,3.3,0.786,1.7,5.7,7.4,4.4,1.1,0.9,2.5,2.8,12.4,0.26956521739130435,0.47692307692307695
Myles Turner,29.0,MIL,C,42.0,42.0,28.3,4.0,9.5,0.426,2.2,5.7,0.388,1.8,3.8,0.484,0.543,2.0,2.7,0.761,1.2,4.2,5.4,1.6,0.6,1.6,1.0,2.7,12.4,0.29523809523809524,0.4381625441696113
Brandon Williams,26.0,DAL,PG,40.0,11.0,22.2,4.4,9.7,0.456,0.5,2.5,0.19,3.9,7.2,0.549,0.481,3.2,4.0,0.788,0.6,2.4,2.9,3.7,1.1,0.2,2.0,1.7,12.4,0.31,0.5585585585585586
Malik Monk,27.0,SAC,SG,38.0,0.0,22.4,4.4,9.9,0.444,2.0,4.7,0.422,2.4,5.2,0.465,0.545,1.4,1.7,0.859,0.3,1.7,2.0,2.5,0.7,0.3,1.4,1.6,12.3,0.3236842105263158,0.5491071428571429
Wendell Carter Jr.,26.0,ORL,C,42.0,42.0,30.0,4.3,8.5,0.504,1.2,3.4,0.347,3.1,5.1,0.609,0.574,2.4,3.1,0.773,2.3,5.1,7.5,2.2,0.7,0.8,1.3,3.6,12.2,0.29047619047619044,0.4066666666666666
Brandin Podziemski,22.0,GSW,SG,46.0,14.0,26.8,4.3,9.4,0.463,1.8,4.6,0.393,2.5,4.8,0.529,0.559,1.7,2.3,0.736,0.7,3.8,4.4,3.4,1.1,0.2,1.4,1.9,12.2,0.2652173913043478,0.4552238805970149
Rui Hachimura,27.0,LAL,PF,34.0,27.0,30.5,4.7,9.5,0.5,1.8,4.2,0.427,2.9,5.3,0.559,0.595,0.9,1.1,0.769,0.8,2.9,3.6,0.9,0.6,0.3,0.8,1.7,12.1,0.3558823529411765,0.39672131147540984
Jonathan Kuminga,23.0,GSW,PF,20.0,13.0,23.8,4.4,9.7,0.454,0.9,2.7,0.321,3.6,7.1,0.504,0.497,2.5,3.3,0.742,1.5,4.4,5.9,2.5,0.4,0.3,2.3,1.7,12.1,0.605,0.5084033613445378
Duncan Robinson,31.0,DET,SF,41.0,41.0,28.9,4.0,9.2,0.438,2.9,7.3,0.403,1.1,1.9,0.57,0.597,1.1,1.6,0.734,0.4,2.4,2.8,1.9,0.7,0.4,0.7,2.2,12.1,0.2951219512195122,0.41868512110726647
Cam Spencer,25.0,MEM,SG,42.0,11.0,23.8,3.9,8.1,0.484,2.3,5.0,0.464,1.6,3.1,0.515,0.627,1.9,2.0,0.919,0.5,2.3,2.7,5.5,0.7,0.1,1.5,1.6,12.0,0.2857142857142857,0.5042016806722689
Mark Williams,24.0,PHO,C,40.0,36.0,23.9,4.7,7.2,0.652,0.0,0.0,1.0,4.7,7.2,0.65,0.653,2.6,3.4,0.784,3.2,5.0,8.2,1.0,1.1,1.0,1.1,2.3,12.0,0.3,0.502092050209205
Josh Hart,30.0,NYK,SF,34.0,19.0,30.5,4.5,9.1,0.497,1.6,3.9,0.398,2.9,5.1,0.571,0.583,1.4,1.8,0.742,1.7,6.1,7.8,5.2,1.2,0.3,2.1,2.6,11.9,0.35000000000000003,0.39016393442622954
Jaylen Wells,22.0,MEM,SG,43.0,43.0,27.0,4.1,10.0,0.405,1.7,5.2,0.326,2.4,4.8,0.49,0.49,2.0,2.6,0.777,1.0,2.5,3.5,1.7,0.9,0.1,1.2,2.0,11.9,0.27674418604651163,0.44074074074074077
Jalen Green,23.0,PHO,SG,4.0,2.0,13.5,4.0,9.3,0.432,2.0,4.8,0.421,2.0,4.5,0.444,0.541,1.8,2.3,0.778,0.5,1.3,1.8,2.0,0.5,0.0,1.3,0.8,11.8,2.95,0.8740740740740741
Julian Champagnie,24.0,SAS,SF,45.0,31.0,28.7,3.8,8.8,0.427,2.6,6.8,0.379,1.2,2.0,0.587,0.573,1.6,1.9,0.826,1.0,5.2,6.2,1.5,0.9,0.4,1.0,1.6,11.7,0.26,0.4076655052264808
Tari Eason,24.0,HOU,PF,23.0,9.0,23.7,4.5,9.4,0.475,2.1,4.5,0.466,2.4,5.0,0.482,0.585,0.7,1.1,0.615,2.0,4.1,6.1,1.6,1.3,0.6,1.7,2.0,11.7,0.508695652173913,0.49367088607594933
Cameron Johnson,29.0,DEN,SF,28.0,28.0,30.6,4.0,8.8,0.461,1.9,4.5,0.429,2.1,4.3,0.496,0.571,1.7,2.1,0.81,0.7,2.9,3.6,2.4,0.6,0.3,1.0,2.3,11.7,0.4178571428571428,0.38235294117647056
Brice Sensabaugh,22.0,UTA,SF,43.0,9.0,21.0,4.1,9.2,0.449,1.7,5.0,0.33,2.5,4.2,0.592,0.539,1.9,2.1,0.87,0.8,2.2,3.0,1.5,0.7,0.1,1.2,1.7,11.7,0.2720930232558139,0.5571428571428572
Klay Thompson,35.0,DAL,SF,43.0,8.0,22.0,4.1,10.6,0.389,2.9,7.7,0.38,1.2,2.9,0.416,0.527,0.5,0.8,0.697,0.3,2.2,2.5,1.4,0.5,0.3,0.9,1.0,11.7,0.2720930232558139,0.5318181818181817
Dyson Daniels,22.0,ATL,SG,45.0,45.0,34.2,5.1,10.3,0.498,0.2,1.4,0.109,5.0,8.9,0.56,0.505,1.1,1.8,0.622,2.2,4.5,6.7,6.2,1.8,0.4,2.1,2.2,11.6,0.2577777777777778,0.3391812865497076
Jock Landale,30.0,MEM,C,41.0,21.0,23.1,4.5,8.6,0.525,1.1,2.9,0.398,3.4,5.8,0.589,0.592,1.4,2.1,0.671,3.1,3.4,6.5,1.7,0.5,0.5,1.0,2.4,11.6,0.28292682926829266,0.5021645021645021
Kel'el Ware,21.0,MIA,C,43.0,27.0,23.8,4.6,8.5,0.54,1.2,2.9,0.415,3.4,5.7,0.602,0.609,1.2,1.5,0.815,3.2,6.6,9.8,0.6,0.9,1.1,1.0,1.6,11.6,0.2697674418604651,0.48739495798319327
Donovan Clingan,21.0,POR,C,42.0,42.0,27.4,4.3,8.1,0.535,0.9,2.9,0.311,3.4,5.2,0.661,0.591,1.7,2.5,0.67,4.4,6.5,10.9,1.9,0.5,1.2,1.0,2.4,11.3,0.2690476190476191,0.41240875912408764
Kevin Huerter,27.0,CHI,SF,40.0,10.0,23.8,4.3,9.3,0.464,1.6,5.1,0.319,2.7,4.2,0.639,0.551,1.0,1.3,0.769,0.5,3.2,3.7,2.6,0.8,0.6,1.2,2.0,11.3,0.28250000000000003,0.4747899159663866
Caleb Love,24.0,POR,SG,38.0,1.0,22.4,4.2,10.6,0.394,2.1,6.4,0.333,2.0,4.2,0.487,0.495,0.8,1.1,0.744,0.6,2.2,2.7,2.6,0.6,0.1,1.3,1.2,11.3,0.2973684210526316,0.5044642857142858
De'Anthony Melton,27.0,GSW,PG,20.0,0.0,20.9,4.1,9.4,0.433,1.4,4.5,0.303,2.7,4.9,0.551,0.505,1.9,2.4,0.787,0.6,2.1,2.7,2.0,1.4,0.6,1.5,2.3,11.3,0.5650000000000001,0.5406698564593302
Isaiah Hartenstein,27.0,OKC,C,24.0,24.0,26.9,4.8,7.5,0.644,0.0,0.2,0.0,4.8,7.3,0.659,0.644,1.5,2.4,0.649,3.4,7.0,10.4,3.0,1.1,0.8,2.1,2.9,11.2,0.4666666666666666,0.4163568773234201
Sandro Mamukelashvili,26.0,TOR,C,45.0,10.0,22.1,4.3,8.0,0.53,1.3,3.5,0.38,2.9,4.5,0.647,0.613,1.3,1.7,0.744,1.6,3.6,5.1,2.0,0.7,0.6,0.8,1.8,11.2,0.24888888888888888,0.5067873303167421
Jusuf Nurkić,31.0,UTA,C,36.0,31.0,26.5,4.6,9.0,0.508,0.6,1.7,0.355,3.9,7.3,0.544,0.542,1.5,2.7,0.551,2.6,7.6,10.2,5.0,1.3,0.5,2.4,3.3,11.2,0.3111111111111111,0.4226415094339622
Zaccharie Risacher,20.0,ATL,SF,36.0,36.0,24.6,4.3,9.4,0.462,1.6,4.4,0.358,2.8,5.0,0.553,0.546,0.9,1.5,0.642,0.9,2.4,3.3,1.4,0.9,0.5,0.9,2.2,11.2,0.3111111111111111,0.4552845528455284
Rudy Gobert,33.0,MIN,C,43.0,43.0,31.7,4.5,6.3,0.716,0.0,0.0,0.0,4.5,6.3,0.719,0.716,1.9,3.8,0.506,3.9,7.5,11.3,1.8,0.7,1.7,1.3,2.8,11.0,0.2558139534883721,0.3470031545741325
Ace Bailey,19.0,UTA,SF,39.0,28.0,24.6,4.4,9.8,0.45,1.4,4.2,0.34,3.0,5.6,0.532,0.522,0.7,0.9,0.722,1.5,1.9,3.5,1.6,0.7,0.4,1.3,2.5,10.9,0.2794871794871795,0.4430894308943089
Ausar Thompson,23.0,DET,SF,39.0,38.0,25.9,4.4,8.7,0.51,0.1,0.5,0.263,4.3,8.2,0.525,0.518,1.9,3.3,0.574,2.2,3.8,6.0,2.6,1.7,0.8,1.5,2.9,10.9,0.2794871794871795,0.4208494208494209
Harrison Barnes,33.0,SAS,PF,45.0,45.0,28.2,3.7,8.5,0.432,1.8,5.2,0.358,1.8,3.4,0.546,0.54,1.5,1.7,0.87,0.8,2.2,3.0,2.1,0.7,0.2,1.0,1.3,10.7,0.23777777777777775,0.37943262411347517
Moses Moody,23.0,GSW,SG,44.0,33.0,24.4,3.6,8.4,0.43,2.2,5.6,0.394,1.4,2.8,0.5,0.561,1.3,1.6,0.797,0.8,2.2,3.0,1.5,0.9,0.6,0.9,2.0,10.7,0.24318181818181817,0.4385245901639344
A.J. Green,26.0,MIL,SG,40.0,40.0,29.5,3.4,7.7,0.445,3.1,7.0,0.437,0.4,0.7,0.517,0.643,0.6,0.8,0.8,0.2,2.4,2.6,2.0,0.6,0.1,0.9,2.5,10.5,0.2625,0.3559322033898305
Moritz Wagner,28.0,ORL,C,4.0,0.0,13.0,3.5,7.0,0.5,1.0,3.0,0.333,2.5,4.0,0.625,0.571,2.5,2.5,1.0,0.3,3.0,3.3,0.8,0.8,0.0,1.0,2.0,10.5,2.625,0.8076923076923077
Dylan Harper,19.0,SAS,SG,35.0,0.0,21.3,4.1,9.4,0.436,0.6,2.6,0.242,3.5,6.8,0.51,0.47,1.5,2.0,0.746,0.7,2.5,3.2,3.5,0.9,0.3,1.4,1.9,10.4,0.29714285714285715,0.48826291079812206
Derrick Jones Jr.,28.0,LAC,SF,17.0,13.0,24.2,3.8,6.9,0.556,1.3,3.2,0.4,2.5,3.6,0.694,0.65,1.4,1.8,0.774,0.9,1.8,2.6,1.2,0.8,1.1,0.8,2.1,10.4,0.611764705882353,0.4297520661157025
Aaron Wiggins,27.0,OKC,SG,31.0,11.0,23.2,3.9,8.7,0.454,1.8,4.7,0.39,2.1,4.0,0.528,0.559,0.7,0.9,0.724,0.6,2.8,3.4,1.7,0.8,0.6,1.1,1.5,10.4,0.33548387096774196,0.4482758620689655
Royce O'Neale,32.0,PHO,SF,45.0,40.0,29.3,3.6,8.4,0.431,2.9,6.9,0.417,0.7,1.5,0.493,0.602,0.3,0.4,0.632,0.7,4.3,5.0,2.9,1.2,0.3,1.6,2.2,10.3,0.2288888888888889,0.3515358361774744
Egor Dёmin,19.0,BRK,PG,38.0,30.0,24.5,3.5,8.6,0.404,2.4,6.1,0.4,1.1,2.6,0.412,0.544,0.8,1.0,0.838,0.5,2.5,3.0,3.4,0.9,0.3,1.7,1.8,10.2,0.26842105263157895,0.4163265306122449
Neemias Queta,26.0,BOS,C,43.0,42.0,24.9,4.3,6.6,0.65,0.0,0.1,0.0,4.3,6.5,0.662,0.65,1.6,2.4,0.663,3.0,5.1,8.0,1.3,0.9,1.3,0.9,2.8,10.2,0.23720930232558138,0.40963855421686746
D'Angelo Russell,29.0,DAL,PG,26.0,3.0,19.0,3.6,8.9,0.405,1.3,4.3,0.295,2.3,4.6,0.508,0.476,1.7,2.3,0.717,0.3,2.0,2.3,4.0,0.5,0.1,1.9,1.2,10.2,0.3923076923076923,0.5368421052631579
Isaiah Stewart,24.0,DET,C,39.0,11.0,23.5,3.9,7.3,0.535,0.8,2.4,0.347,3.1,4.9,0.628,0.593,1.5,2.0,0.747,1.8,3.8,5.6,1.2,0.3,1.9,1.3,3.0,10.2,0.2615384615384615,0.4340425531914893
Bilal Coulibaly,21.0,WAS,SG,25.0,25.0,26.6,3.3,8.4,0.392,1.0,3.5,0.273,2.3,4.8,0.479,0.45,2.6,3.4,0.765,0.9,3.8,4.7,2.5,1.4,0.9,1.6,2.9,10.1,0.40399999999999997,0.3796992481203007
Marcus Smart,31.0,LAL,SG,35.0,28.0,28.6,3.3,8.1,0.406,1.7,5.1,0.328,1.6,3.0,0.538,0.509,1.9,2.1,0.867,0.7,2.4,3.1,2.9,1.3,0.4,1.8,2.8,10.1,0.28857142857142853,0.3531468531468531
Marvin Bagley III,26.0,WAS,PF,36.0,7.0,19.3,4.0,6.4,0.619,0.2,0.5,0.389,3.8,5.9,0.638,0.634,1.8,2.6,0.71,2.6,3.1,5.7,1.5,0.5,0.7,1.2,2.1,10.0,0.2777777777777778,0.5181347150259067
Bub Carrington,20.0,WAS,PG,44.0,17.0,28.6,3.4,8.5,0.4,2.1,5.2,0.405,1.3,3.4,0.392,0.523,1.0,1.3,0.754,0.5,3.4,3.8,4.7,0.6,0.3,2.3,2.4,9.9,0.225,0.34615384615384615
Khris Middleton,34.0,WAS,SF,30.0,30.0,24.5,3.6,8.6,0.422,0.9,2.9,0.314,2.7,5.7,0.477,0.475,1.6,2.0,0.831,1.0,3.0,4.0,3.2,0.8,0.3,1.6,2.7,9.8,0.3266666666666667,0.4
Jalen Smith,25.0,CHI,C,38.0,8.0,19.6,3.6,7.6,0.47,1.5,4.1,0.359,2.1,3.4,0.603,0.568,1.2,1.6,0.738,1.9,5.0,6.9,1.3,0.4,0.9,0.9,2.0,9.8,0.2578947368421053,0.5
Zach Collins,28.0,CHI,C,10.0,0.0,18.4,3.7,6.4,0.578,0.9,2.1,0.429,2.8,4.3,0.651,0.648,1.4,2.0,0.7,1.6,4.0,5.6,1.5,0.2,0.4,1.0,1.8,9.7,0.97,0.5271739130434783
Pelle Larsson,24.0,MIA,SG,38.0,25.0,23.2,3.5,7.2,0.48,0.9,2.9,0.321,2.5,4.3,0.589,0.545,1.8,2.4,0.747,0.8,2.1,2.8,3.3,0.5,0.2,0.9,1.9,9.7,0.2552631578947368,0.41810344827586204
Jakob Poeltl,30.0,TOR,C,21.0,21.0,25.3,4.2,6.0,0.693,0.0,0.0,0.0,4.2,6.0,0.693,0.693,1.3,2.2,0.596,2.7,5.0,7.7,2.1,0.8,0.5,1.6,3.1,9.7,0.4619047619047619,0.38339920948616596
Maxime Raynaud,22.0,SAC,C,38.0,24.0,23.0,4.2,7.7,0.541,0.2,0.8,0.3,3.9,6.9,0.569,0.557,1.2,1.7,0.714,1.8,4.7,6.4,1.1,0.4,0.5,0.9,2.5,9.7,0.2552631578947368,0.42173913043478256
T.J. McConnell,33.0,IND,PG,33.0,0.0,17.2,4.5,8.4,0.529,0.3,1.1,0.314,4.1,7.4,0.56,0.549,0.4,0.4,0.923,0.5,1.8,2.2,4.9,1.2,0.2,1.2,1.2,9.6,0.2909090909090909,0.5581395348837209
Jarace Walker,22.0,IND,PF,46.0,14.0,23.4,3.2,8.4,0.381,1.6,4.4,0.363,1.6,4.1,0.401,0.476,1.6,2.1,0.768,0.4,3.8,4.2,1.9,0.7,0.3,1.5,1.7,9.6,0.20869565217391303,0.41025641025641024
Christian Braun,24.0,DEN,SG,14.0,14.0,28.9,3.6,7.9,0.459,0.5,2.4,0.212,3.1,5.6,0.564,0.491,1.7,2.3,0.75,1.4,2.8,4.2,2.5,0.6,0.4,1.2,2.1,9.5,0.6785714285714286,0.32871972318339104
Jordan Clarkson,33.0,NYK,SG,44.0,0.0,19.5,3.5,8.3,0.425,1.3,4.0,0.33,2.2,4.3,0.513,0.504,1.1,1.4,0.778,0.8,1.0,1.8,1.3,0.5,0.1,1.1,1.9,9.5,0.2159090909090909,0.48717948717948717
Isaiah Joe,26.0,OKC,SG,37.0,1.0,19.9,2.9,6.7,0.437,2.2,5.4,0.398,0.8,1.2,0.609,0.599,1.5,1.7,0.859,0.5,2.1,2.5,1.3,0.5,0.2,0.6,1.7,9.5,0.25675675675675674,0.47738693467336685
Jake LaRavia,24.0,LAL,PF,44.0,23.0,27.3,3.4,7.4,0.463,1.2,3.5,0.344,2.2,3.9,0.571,0.545,1.5,2.0,0.753,1.5,2.7,4.3,2.0,1.3,0.5,1.1,2.2,9.5,0.2159090909090909,0.34798534798534797
Ziaire Williams,24.0,BRK,SF,32.0,4.0,22.8,3.0,7.4,0.407,1.6,5.2,0.305,1.4,2.2,0.652,0.515,1.9,2.2,0.871,0.6,2.0,2.5,0.6,1.1,0.5,1.0,2.0,9.5,0.296875,0.41666666666666663
Kyle Filipowski,22.0,UTA,C,45.0,15.0,22.2,3.5,7.5,0.466,0.8,2.6,0.316,2.7,4.9,0.545,0.521,1.5,2.1,0.708,1.6,4.5,6.1,2.0,0.7,0.4,1.2,2.8,9.3,0.2066666666666667,0.41891891891891897
Vit Krejci,25.0,ATL,PG,43.0,7.0,23.0,3.2,6.9,0.461,2.3,5.4,0.425,0.9,1.5,0.594,0.628,0.6,0.8,0.75,0.4,1.7,2.1,1.6,0.8,0.3,0.7,2.4,9.3,0.21627906976744188,0.4043478260869566
Landry Shamet,28.0,NYK,SG,20.0,6.0,20.4,2.9,6.2,0.46,2.0,4.6,0.435,0.9,1.6,0.531,0.621,1.6,2.1,0.762,0.4,1.5,1.9,1.2,0.5,0.3,0.5,1.2,9.3,0.465,0.4558823529411765
Tristan Da Silva,24.0,ORL,SF,39.0,14.0,22.9,3.4,7.9,0.435,1.5,4.0,0.374,1.9,3.9,0.497,0.529,0.8,1.0,0.842,0.8,2.7,3.5,1.1,0.8,0.2,0.9,1.3,9.2,0.2358974358974359,0.4017467248908297
Cam Whitmore,21.0,WAS,SF,21.0,0.0,16.9,3.7,8.0,0.456,0.8,2.7,0.286,2.9,5.4,0.54,0.503,1.1,1.5,0.742,0.9,1.9,2.8,0.7,0.7,0.4,0.9,1.2,9.2,0.43809523809523804,0.5443786982248521
Isaiah Collier,21.0,UTA,PG,38.0,5.0,23.3,3.4,6.6,0.512,0.5,1.4,0.34,2.9,5.2,0.558,0.548,1.8,2.8,0.654,0.4,2.0,2.4,6.6,0.7,0.3,2.3,2.3,9.1,0.2394736842105263,0.39055793991416304
Sam Hauser,28.0,BOS,PF,44.0,16.0,23.5,3.1,7.5,0.421,2.7,6.6,0.405,0.5,0.9,0.538,0.599,0.2,0.2,0.9,0.7,3.0,3.7,1.4,0.6,0.3,0.6,1.3,9.1,0.20681818181818182,0.3872340425531915
Herbert Jones,27.0,NOP,SF,24.0,24.0,28.2,3.3,8.6,0.388,1.3,4.1,0.323,2.0,4.5,0.449,0.466,1.1,1.3,0.813,1.0,2.5,3.5,2.4,1.7,0.4,1.3,3.3,9.1,0.37916666666666665,0.32269503546099293
Davion Mitchell,27.0,MIA,PG,40.0,40.0,29.2,3.6,7.6,0.47,1.2,2.9,0.4,2.4,4.7,0.513,0.546,0.7,1.1,0.651,0.4,2.2,2.6,7.2,1.2,0.1,1.7,2.7,9.0,0.225,0.3082191780821918
Corey Kispert,26.0,2TM,SF,26.0,5.0,19.0,3.0,6.4,0.467,1.5,4.1,0.377,1.5,2.3,0.623,0.587,1.4,1.8,0.783,0.4,1.9,2.3,1.6,0.5,0.1,0.8,1.0,8.9,0.3423076923076923,0.46842105263157896
Corey Kispert,26.0,WAS,SF,19.0,2.0,19.5,3.1,6.3,0.496,1.6,4.0,0.395,1.5,2.3,0.674,0.622,1.4,1.8,0.765,0.3,2.0,2.3,1.7,0.4,0.2,0.7,1.1,9.2,0.4842105263157894,0.4717948717948718
Corey Kispert,26.0,ATL,SF,7.0,3.0,17.7,2.7,6.9,0.396,1.4,4.3,0.333,1.3,2.6,0.5,0.5,1.4,1.7,0.833,0.6,1.7,2.3,1.3,0.7,0.0,1.0,0.9,8.3,1.1857142857142857,0.46892655367231645
Svi Mykhailiuk,28.0,UTA,SF,39.0,39.0,24.2,3.3,6.9,0.476,1.7,4.5,0.386,1.6,2.4,0.642,0.601,0.5,0.6,0.913,0.7,1.8,2.6,1.9,0.5,0.1,0.8,1.3,8.9,0.22820512820512823,0.36776859504132237
Jordan Goodwin,27.0,PHO,PG,42.0,2.0,21.5,3.4,8.3,0.405,1.5,4.3,0.344,1.9,4.0,0.47,0.494,0.6,0.8,0.735,1.9,2.8,4.6,2.3,1.4,0.2,1.1,1.7,8.8,0.20952380952380953,0.4093023255813954
Simone Fontecchio,30.0,MIA,SF,43.0,1.0,16.9,2.8,7.0,0.405,1.8,4.9,0.376,1.0,2.1,0.472,0.537,1.2,1.5,0.81,0.7,2.3,3.1,1.4,0.5,0.1,0.8,1.5,8.7,0.2023255813953488,0.514792899408284
Draymond Green,35.0,GSW,PF,38.0,38.0,26.7,3.2,7.4,0.426,1.4,4.4,0.331,1.7,3.1,0.56,0.523,0.9,1.3,0.694,0.8,5.0,5.8,5.2,0.9,0.7,2.8,3.2,8.7,0.22894736842105262,0.32584269662921345
Ryan Kalkbrenner,24.0,CHO,C,34.0,26.0,24.2,3.7,4.8,0.778,0.0,0.1,0.0,3.7,4.7,0.788,0.778,1.3,1.8,0.694,2.4,3.8,6.2,0.6,0.6,1.5,1.0,1.7,8.7,0.25588235294117645,0.3595041322314049
Jonas Valančiūnas,33.0,DEN,C,34.0,2.0,13.5,3.6,6.1,0.585,0.1,0.4,0.231,3.5,5.7,0.608,0.592,1.5,1.9,0.785,1.4,3.4,4.8,1.3,0.2,0.6,1.1,2.1,8.7,0.25588235294117645,0.6444444444444444
Isaac Okoro,25.0,CHI,SG,37.0,37.0,25.1,3.2,6.7,0.474,1.1,3.2,0.333,2.1,3.6,0.598,0.552,1.1,1.5,0.764,1.1,1.6,2.8,1.4,0.6,0.5,0.6,2.6,8.6,0.23243243243243242,0.3426294820717131
Nikola Jović,22.0,MIA,PF,35.0,1.0,19.0,2.8,7.3,0.377,1.1,3.9,0.294,1.6,3.5,0.471,0.455,1.8,2.5,0.708,0.6,3.1,3.7,2.7,0.7,0.4,1.7,1.6,8.5,0.24285714285714285,0.4473684210526316
Luguentz Dort,26.0,OKC,SF,36.0,36.0,27.2,3.0,7.6,0.393,1.9,5.5,0.338,1.1,2.1,0.541,0.517,0.6,0.7,0.88,0.8,2.9,3.7,1.1,0.9,0.6,0.7,3.0,8.4,0.23333333333333334,0.3088235294117647
Jay Huff,27.0,IND,C,46.0,26.0,19.5,3.1,6.6,0.469,1.3,4.3,0.316,1.8,2.4,0.743,0.57,0.9,1.0,0.833,1.0,2.7,3.7,1.3,0.5,2.0,0.8,2.4,8.4,0.1826086956521739,0.4307692307692308
Jaden Ivey,23.0,DET,SG,28.0,2.0,17.0,3.1,6.7,0.46,1.2,3.3,0.366,1.9,3.4,0.553,0.551,1.0,1.3,0.778,0.5,1.6,2.1,1.7,0.5,0.4,1.0,1.4,8.4,0.3,0.49411764705882355
