player,age,team,pos,g,gs,mp,fg,fga,fg_percent,three_points,three_pointsa,three_points_percent,two_points,two_pointsa,two_points_percent,efg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,points_per_game,points_per_minute
Jahmai Mashack,23.0,MEM,SG,7.0,0.0,3.6,0.3,1.1,0.25,0.3,0.9,0.333,0.0,0.3,0.0,0.375,0.0,0.0,0.0,0.0,0.7,0.7,0.3,0.1,0.0,0.4,0.1,0.9,0.1285714285714286,0.25
Bismack Biyombo,33.0,SAS,C,11.0,1.0,5.9,0.4,0.5,0.667,0.0,0.0,0.0,0.4,0.5,0.667,0.667,0.1,0.2,0.5,0.2,0.5,0.6,0.3,0.3,0.1,0.3,0.9,0.8,0.07272727272727274,0.13559322033898305
N'Faly Dante,24.0,ATL,C,4.0,0.0,3.8,0.3,1.0,0.25,0.0,0.0,0.0,0.3,1.0,0.25,0.25,0.3,0.3,1.0,0.8,1.0,1.8,0.0,0.5,0.0,0.3,0.3,0.8,0.2,0.2105263157894737
Drew Peterson,26.0,CHO,PF,6.0,0.0,10.7,0.3,2.7,0.125,0.0,2.0,0.0,0.3,0.7,0.5,0.125,0.2,0.3,0.5,0.5,1.0,1.5,0.3,0.5,0.2,0.0,0.5,0.8,0.13333333333333333,0.07476635514018692
Sharife Cooper,24.0,WAS,PG,5.0,0.0,3.8,0.2,0.4,0.5,0.2,0.4,0.5,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.4,0.4,0.6,0.12,0.15789473684210525
Joe Ingles,38.0,MIN,SF,13.0,0.0,4.2,0.2,0.4,0.4,0.1,0.3,0.25,0.1,0.1,1.0,0.5,0.2,0.2,1.0,0.0,0.4,0.4,0.8,0.5,0.0,0.4,0.5,0.5,0.038461538461538464,0.11904761904761904
Pacome Dadiet,20.0,NYK,SG,18.0,0.0,3.2,0.1,0.5,0.222,0.0,0.3,0.0,0.1,0.2,0.5,0.222,0.2,0.2,1.0,0.1,0.6,0.6,0.4,0.1,0.0,0.0,0.2,0.4,0.022222222222222223,0.125
Lachlan Olbrich,22.0,CHI,C,10.0,0.0,7.3,0.2,0.9,0.222,0.0,0.4,0.0,0.2,0.5,0.4,0.222,0.0,0.2,0.0,0.7,1.4,2.1,0.9,0.0,0.0,0.4,1.6,0.4,0.04,0.05479452054794521
Garrett Temple,39.0,TOR,SG,12.0,0.0,2.8,0.1,0.6,0.143,0.1,0.4,0.2,0.0,0.2,0.0,0.214,0.1,0.2,0.5,0.0,0.3,0.3,0.3,0.3,0.1,0.3,0.2,0.3,0.024999999999999998,0.10714285714285715
Jahmyl Telfort,24.0,LAC,PF,8.0,0.0,4.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.25,0.0,0.4,0.4,0.1,0.1,0.0,0.1,0.6,0.1,0.0125,0.025
Mo Bamba,27.0,TOR,C,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0
Isaiah Crawford,24.0,HOU,SF,2.0,0.0,2.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Noa Essengue,19.0,CHI,PF,2.0,0.0,3.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
Tosan Evbuomwan,24.0,NYK,SF,5.0,0.0,1.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
Vladislav Goldin,24.0,MIA,C,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chucky Hepburn,22.0,TOR,PG,2.0,0.0,6.5,0.0,3.0,0.0,0.0,2.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0
Malevy Leons,26.0,GSW,SF,2.0,0.0,2.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
Chris Mañon,24.0,LAL,SG,4.0,0.0,3.5,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.8,0.0,0.3,0.5,0.0,0.8,0.0,0.0,0.0
League Average,,,,,,,,,0.469,,,0.359,,,0.547,0.544,,,0.786,,,,,,,,,,,
